id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum,probe_alt
22,YDUY,8,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 30. maddesine göre yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",YANLIS,"Yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",,P5_maddeshift(8→30),ONAY_BEKLIYOR,P5_maddeshift
25,TBDY,7.2.1.4,P5_capraz,"TBDY 2018'in 14.13.1.1 numaralı bendine göre kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastisite modülünün kullanılması zorunludur.",YANLIS,"Kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastis",,P5_maddeshift(7.2.1.4→14.13.1.1),ONAY_BEKLIYOR,P5_maddeshift
29,YDUY,14,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre verilen ya da yenilenen denetçi belgeleri beş yıl için geçerlidir.,DOGRU,Verilen ya da yenilenen denetçi belgeleri beş yıl için geçerlidir.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
31,TBDY,8.3.1.7,P1_dogrudan,TBDY 2018'e göre aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,DOGRU,Aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
33,TBDY,16.4.1,P5_capraz,"TBDY 2018'in 9.2.5.2 numaralı bendine göre sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",YANLIS,"Sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",,P5_maddeshift(16.4.1→9.2.5.2),ONAY_BEKLIYOR,P5_maddeshift
35,TBDY,5.7,P5_capraz,TBDY 2018'in 4.5 numaralı bendine göre panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.,YANLIS,Panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.,,P5_maddeshift(5.7→4.5),ONAY_BEKLIYOR,P5_maddeshift
37,TBDY,16.13.2,P5_capraz,"TBDY 2018'in 2.5.1.2 numaralı bendine göre yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkileşimi analizlerinin yapılması gerekir.",YANLIS,"Yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkile",,P5_maddeshift(16.13.2→2.5.1.2),ONAY_BEKLIYOR,P5_maddeshift
38,TBDY,2.1.2,P5_capraz,"TBDY 2018'in 15.1.4 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir",,P5_maddeshift(2.1.2→15.1.4),ONAY_BEKLIYOR,P5_maddeshift
40,TBDY,16.8.5.4,P5_capraz,"TBDY 2018'in 14.14.2.3 numaralı bendine göre çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",YANLIS,"Çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",,P5_maddeshift(16.8.5.4→14.14.2.3),ONAY_BEKLIYOR,P5_maddeshift
43,TBDY,7.3.3.2,P1_dogrudan,"TBDY 2018'e göre karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",DOGRU,"Karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
44,TBDY,15.2.7.3,P1_dogrudan,"TBDY 2018'e göre malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir.",DOGRU,"Malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
45,TBDY,11.2.2,P5_capraz,"TBDY 2018'in 7.3.7.1 numaralı bendine göre donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır.",YANLIS,"Donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır.",,P5_maddeshift(11.2.2→7.3.7.1),ONAY_BEKLIYOR,P5_maddeshift
47,TBDY,11.2.5,P1_dogrudan,TBDY 2018'e göre duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,DOGRU,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
49,YDUY,28,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 28. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-5/2/2013-28550) Yapı denetim kuruluşu, 27 nci maddede belirtilen oranlara göre her yapı bölümü veya kısmi yapı bölümü için, bu bölümlerin tamamlanmasını müteakiben, ek-24’de gösterilen",değişiklik: 2022,P6_yil,ONAY_BEKLIYOR,P6_yil
50,TBDY,17.9.3,P5_capraz,"TBDY 2018'in 9.3.4.3 numaralı bendine göre perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",YANLIS,"Perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",,P5_maddeshift(17.9.3→9.3.4.3),ONAY_BEKLIYOR,P5_maddeshift
51,TBDY,4.3.2.2,P5_capraz,"TBDY 2018'in 16.5.2.5 numaralı bendine göre kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",YANLIS,"Kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",,P5_maddeshift(4.3.2.2→16.5.2.5),ONAY_BEKLIYOR,P5_maddeshift
52,TBDY,17.5.2.4,P1_dogrudan,"TBDY 2018'in 17.5.2.4 numaralı bendine göre kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan paylarının toplamı kullanılarak hesap lanabilir.",DOGRU,"Kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan p",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
53,YDUY,19,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'nin 26. maddesine göre kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasının uygulanmasının gerektiğine karar verilmesi halinde Bakanlığa teklifte bulunulur.,YANLIS,Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasının uygulanmasının gerektiğine karar verilmesi halinde Bakanlığa teklifte bulunulur.,,P5_maddeshift(19→26),ONAY_BEKLIYOR,P5_maddeshift
56,TBDY,16.4.3,P5_capraz,"TBDY 2018'in 16.13.1 numaralı bendine göre yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",YANLIS,"Yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",,P5_maddeshift(16.4.3→16.13.1),ONAY_BEKLIYOR,P5_maddeshift
57,YDUY,29,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 29. maddesine göre kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı denetim hizmet bedeli ödenmez.",DOGRU,"Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı de",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
58,TBDY,6.2.3,P5_capraz,"TBDY 2018'in 15.5.2.5 numaralı bendine göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",YANLIS,"Mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",,P5_maddeshift(6.2.3→15.5.2.5),ONAY_BEKLIYOR,P5_maddeshift
59,YDUY,32,P5_capraz,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat farkı bu maddede belirlenen esaslar dâhilinde alınır.",YANLIS,"Yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat fa",,P5_lawshuffle(YDUY→ISGRISK),ONAY_BEKLIYOR,P5_lawshuffle
60,TBDY,2.1.2,P5_capraz,"TBDY 2018'in 5.6.5.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",,P5_maddeshift(2.1.2→5.6.5.2),ONAY_BEKLIYOR,P5_maddeshift
62,TBDY,4.5.3.2,P1_dogrudan,"TBDY 2018'e göre dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 6 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",DOGRU,"Dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 6 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
65,TBDY,16.5.2.1,P5_capraz,"TBDY 2018'in 11.4 numaralı bendine göre sahaya özel zemin davranış modelinin oluşturulması amacı ile, yatay zemin tabakalarında kayma birim şekildeğ iştirmesi’ne bağlı olarak kayma modülleri’nin ve eşdeğer histeretik sönüm katsayıları’nın doğrusal olmayan değişimlerinin tanımlanması gereklidir.",YANLIS,"Sahaya özel zemin davranış modelinin oluşturulması amacı ile, yatay zemin tabakalarında kayma birim şekildeğ iştirmesi’ne bağlı olarak kayma modülleri’nin ve eşdeğer histeretik sönüm katsayıları’nın doğrusal olmayan deği",,P5_maddeshift(16.5.2.1→11.4),ONAY_BEKLIYOR,P5_maddeshift
69,YDUY,9,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'nin 9. maddesine göre her türlü yapı inşası işinin Bakanlıkça yetki belgesi verilmiş gerçek veya tüzel kişiler tarafından üstlenilmesi mecburidir.,DOGRU,Her türlü yapı inşası işinin Bakanlıkça yetki belgesi verilmiş gerçek veya tüzel kişiler tarafından üstlenilmesi mecburidir.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
70,TBDY,15.1,P5_capraz,TBDY 2018'in 15.4.8 numaralı bendine göre gevrek olarak hasar gören elemanlarda bu sınıflandırma geçerli değildir.,YANLIS,Gevrek olarak hasar gören elemanlarda bu sınıflandırma geçerli değildir.,,P5_maddeshift(15.1→15.4.8),ONAY_BEKLIYOR,P5_maddeshift
72,YDUY,9,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 9. maddesine göre yapı müteahhidi veya onu temsilen görevlendirilen şantiye şefi, inşaatta herhangi bir imalata başlamadan en az bir gün önce, yapılacak imalatı yapı denetim kuruluşuna haber vermek zorundadır.",DOGRU,"Yapı müteahhidi veya onu temsilen görevlendirilen şantiye şefi, inşaatta herhangi bir imalata başlamadan en az bir gün önce, yapılacak imalatı yapı denetim kuruluşuna haber vermek zorundadır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
74,TBDY,15.5.2.2,P5_capraz,"TBDY 2018'in 4.5.2.1 numaralı bendine göre betonarme elemanlar, kırılma türü eğilme ise “sünek”, kesme ise “gevrek” olarak sınıflandırılırlar.",YANLIS,"Betonarme elemanlar, kırılma türü eğilme ise “sünek”, kesme ise “gevrek” olarak sınıflandırılırlar.",,P5_maddeshift(15.5.2.2→4.5.2.1),ONAY_BEKLIYOR,P5_maddeshift
75,YDUY,13,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 13. maddesinde 2020 yılında değişiklik yapılmıştır.,DOGRU,(Mülga:RG-11/12/2020-31331) Yapı denetim kuruluşunda görev alacak teknik personelin deneyim ve nitelikleri (Değişik başlık:RG-11/12/2020-31331),değişiklik: 2020,P6_yil,ONAY_BEKLIYOR,P6_yil
78,TBDY,16.4.3,P1_dogrudan,"TBDY 2018'e göre yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",DOGRU,"Yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
80,TBDY,16.6.2,P2_sayisal,"TBDY 2018'e göre zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 40 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel kayma mukavemeti ve rijitliğindeki önemli oranda azalış olarak tanımlanacaktır.",YANLIS,"Zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel ",,P2_swap(20→40),ONAY_BEKLIYOR,P2_swap
82,ISGRISK,10,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'ne göre planlama: Analiz edilerek etkilerinin büyüklüğüne ve önemine göre sıralı hale getirilen risklerin kontrolü amacıyla bir planlama yapılır.,YANLIS,Planlama: Analiz edilerek etkilerinin büyüklüğüne ve önemine göre sıralı hale getirilen risklerin kontrolü amacıyla bir planlama yapılır.,,P5_lawshuffle(ISGRISK→YDUY),ONAY_BEKLIYOR,P5_lawshuffle
83,YDUY,26,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre yıl sonu itibarı ile hesap kesimi yapılmayan işler için bir sonraki yıla ait ödemede bulunulmaz ve bu yapıların devamına yapı denetim kuruluşunun önerisi ile ilgili idarece izin verilmez.,DOGRU,Yıl sonu itibarı ile hesap kesimi yapılmayan işler için bir sonraki yıla ait ödemede bulunulmaz ve bu yapıların devamına yapı denetim kuruluşunun önerisi ile ilgili idarece izin verilmez.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
85,TBDY,9.11.2.4,P5_capraz,"TBDY 2018'in 7.3.7.1 numaralı bendine göre çelik-betonarme kompozit kolonlu süneklik düzeyi sınırlı moment aktaran çerçevelerde, kolonların kirişlerden daha güçlü olma koşulunun sağlanması zorunlu değildir.",YANLIS,"Çelik-betonarme kompozit kolonlu süneklik düzeyi sınırlı moment aktaran çerçevelerde, kolonların kirişlerden daha güçlü olma koşulunun sağlanması zorunlu değildir.",,P5_maddeshift(9.11.2.4→7.3.7.1),ONAY_BEKLIYOR,P5_maddeshift
86,TBDY,16.6.2,P1_dogrudan,"TBDY 2018'e göre zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel kayma mukavemeti ve rijitliğindeki önemli oranda azalış olarak tanımlanacaktır.",DOGRU,"Zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel ",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
88,TBDY,1.1.10,P1_dogrudan,"TBDY 2018'in 1.1.10 numaralı bendine göre yönetmelikte yer alan diğer Ek’ler, Yönetmeliğin ayrılmaz parçalarıdır ve uygulanmaları zorunludur.",DOGRU,"Yönetmelikte yer alan diğer Ek’ler, Yönetmeliğin ayrılmaz parçalarıdır ve uygulanmaları zorunludur.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
89,TBDY,4.4.4.2,P5_capraz,"TBDY 2018'in 17.6.7 numaralı bendine göre güvenlik Katsayıları ile Tasarım (GKT) yaklaşımının uygulanması durumunda, Bölüm 16’ya göre temel tasarımı dışında, Bölüm 9 ve Bölüm 10’da verilen yük birleşimleri kullanılacaktır.",YANLIS,"Güvenlik Katsayıları ile Tasarım (GKT) yaklaşımının uygulanması durumunda, Bölüm 16’ya göre temel tasarımı dışında, Bölüm 9 ve Bölüm 10’da verilen yük birleşimleri kullanılacaktır.",,P5_maddeshift(4.4.4.2→17.6.7),ONAY_BEKLIYOR,P5_maddeshift
90,TBDY,7.6.3.3,P2_sayisal,"TBDY 2018'e göre uç bölgeleri dışında, perde gövdelerinin her dört yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",YANLIS,"Uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",,P2_swap(iki→dört),ONAY_BEKLIYOR,P2_swap
93,TBDY,16.5.2.1,P1_dogrudan,"TBDY 2018'in 16.5.2.1 numaralı bendine göre sahaya özel zemin davranış modelinin oluşturulması amacı ile, yatay zemin tabakalarında kayma birim şekildeğ iştirmesi’ne bağlı olarak kayma modülleri’nin ve eşdeğer histeretik sönüm katsayıları’nın doğrusal olmayan değişimlerinin tanımlanması gereklidir.",DOGRU,"Sahaya özel zemin davranış modelinin oluşturulması amacı ile, yatay zemin tabakalarında kayma birim şekildeğ iştirmesi’ne bağlı olarak kayma modülleri’nin ve eşdeğer histeretik sönüm katsayıları’nın doğrusal olmayan deği",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
94,TBDY,15.2.5.1,P1_dogrudan,TBDY 2018'e göre projeler ölçümler ile önemli farklılıklar gösteriyor ise proje yok sayılır.,DOGRU,Projeler ölçümler ile önemli farklılıklar gösteriyor ise proje yok sayılır.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
95,TBDY,9.11.2.4,P1_dogrudan,"TBDY 2018'in 9.11.2.4 numaralı bendine göre çelik-betonarme kompozit kolonlu süneklik düzeyi sınırlı moment aktaran çerçevelerde, kolonların kirişlerden daha güçlü olma koşulunun sağlanması zorunlu değildir.",DOGRU,"Çelik-betonarme kompozit kolonlu süneklik düzeyi sınırlı moment aktaran çerçevelerde, kolonların kirişlerden daha güçlü olma koşulunun sağlanması zorunlu değildir.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
99,YDUY,26,P5_capraz,İSG Risk Değerlendirmesi Yönetmeliği'ne göre yıl sonu itibarı ile hesap kesimi yapılmayan işler için bir sonraki yıla ait ödemede bulunulmaz ve bu yapıların devamına yapı denetim kuruluşunun önerisi ile ilgili idarece izin verilmez.,YANLIS,Yıl sonu itibarı ile hesap kesimi yapılmayan işler için bir sonraki yıla ait ödemede bulunulmaz ve bu yapıların devamına yapı denetim kuruluşunun önerisi ile ilgili idarece izin verilmez.,,P5_lawshuffle(YDUY→ISGRISK),ONAY_BEKLIYOR,P5_lawshuffle
100,TBDY,17.4.2.1,P1_dogrudan,TBDY 2018'in 17.4.2.1 numaralı bendine göre uzun kenar / kısa kenar oranının ara değerleri için düşey donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,DOGRU,Uzun kenar / kısa kenar oranının ara değerleri için düşey donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
