id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum
13,3194,39,P5_capraz,3194 sayılı Kanun'un 49. maddesine göre yapı sahibine bu şekilde tebligat yapılamaması hâlinde bu durum tebligat yapan idarenin internet sayfasında 30 gün süre ile ilan edilir ve tebligat varakası tebliğ yerine kaim olmak üzere tehlikeli yapıya asılır ve keyfiyet muhtarla birlikte bir zabıtla tespit edilir.,YANLIS,Yapı sahibine bu şekilde tebligat yapılamaması hâlinde bu durum tebligat yapan idarenin internet sayfasında 30 gün süre ile ilan edilir ve tebligat varakası tebliğ yerine kaim olmak üzere tehlikeli yapıya asılır ve keyfi,,P5_maddeshift(39→49),ONAY_BEKLIYOR
14,YDUY,10,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 10. maddesinde 2020 yılında değişiklik yapılmıştır.,DOGRU,"(1) Yapı denetim kuruluşuna ortak olabilmek için mimarlık, inşaat mühendisliği, makine mühendisliği veya elektrik mühendisliği diplomasına sahip olmak şartı aranır. (2) (Değişik:RG-22/8/2015-29453) Ya",değişiklik: 2020,P6_yil,ONAY_BEKLIYOR
15,YDUY,12,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 12. maddesinde 2023 yılında değişiklik yapılmıştır.,DOGRU,(1) (Değişik:RG-8/7/2019-30825 Mükerrer) Yapı denetim kuruluşuna izin belgesi alabilmek için aşağıdaki şartlar sağlanır: a) Kuruluşun ödenmiş sermayesinin nama yazılı hisselerinin tamamı mimar veya in,değişiklik: 2023,P6_yil,ONAY_BEKLIYOR
16,3194,50,P6_guncellik,3194 sayılı Kanun'un 50. maddesinde 2018 yılında değişiklik yapılmıştır.,DOGRU,Bu Kanun hükümlerini Bakanlar Kurulu yürütür. (Ek kroki ile sınır ve koordinat listesi:11/5/2018-7143/16 md.) (Değişik:27/12/2018-7159/4 md.) (İptal: Anayasa Mahkemesinin 24/9/2020 tarihli ve E.:2019/,değişiklik: 2018,P6_yil,ONAY_BEKLIYOR
17,6331,6,P6_guncellik,6331 sayılı Kanun'un 6. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,"(1) Mesleki risklerin önlenmesi ve bu risklerden korunulmasına yönelik çalışmaları da kapsayacak, iş sağlığı ve güvenliği hizmetlerinin sunulması için işveren; a) Çalışanları arasından iş güvenliği uz",değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
18,YDUY,19,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesine göre merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz.",DOGRU,"Merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz.",,P1_madde_atifli,ONAY_BEKLIYOR
19,YDUY,17,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 17. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,"(Başlığı ile Birlikte Değişik:RG-29/12/2018-30640) (4) (Değişik:RG-12/6/2025-32924) (1) Bakanlıkça belirlenen yapı denetim kuruluşları, elektronik ortamda görevlendirilebilecek yapı denetim kuruluşu b",değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
20,YDUY,4,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 4. maddesinde 2018 yılında değişiklik yapılmıştır.,DOGRU,"(1) İlgili idare, Kanun ve ilgili mevzuat ile belirlenen görevlerini mevzuatta gösterilen süreler içinde tam ve zamanında yerine getirmek zorundadır. (2) Yapı ruhsatı ve yapı kullanma izni belgesini d",değişiklik: 2018,P6_yil,ONAY_BEKLIYOR
21,YDUY,33,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre yapılacak inceleme sonucunda belge iptaline karar verilmesi halinde 32 nci maddenin sekizinci fıkrasına göre güncellenerek teminatı irat kaydedilir.,DOGRU,Yapılacak inceleme sonucunda belge iptaline karar verilmesi halinde 32 nci maddenin sekizinci fıkrasına göre güncellenerek teminatı irat kaydedilir.,,P1_verbatim,ONAY_BEKLIYOR
22,YDUY,8,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 30. maddesine göre yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",YANLIS,"Yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",,P5_maddeshift(8→30),ONAY_BEKLIYOR
23,ISGRISK,10,P1_dogrudan,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre risk kontrol adımları uygulanırken toplu korunma önlemlerine, kişisel korunma önlemlerine göre öncelik verilmesi ve uygulanacak önlemlerin yeni risklere neden olmaması sağlanır.",DOGRU,"Risk kontrol adımları uygulanırken toplu korunma önlemlerine, kişisel korunma önlemlerine göre öncelik verilmesi ve uygulanacak önlemlerin yeni risklere neden olmaması sağlanır.",,P1_verbatim,ONAY_BEKLIYOR
24,3194,28,P1_dogrudan,"3194 sayılı Kanun'un 28. maddesine göre bildirim üzerine, en geç üç iş günü içinde 32 nci maddeye göre işlem yapılır.",DOGRU,"Bildirim üzerine, en geç üç iş günü içinde 32 nci maddeye göre işlem yapılır.",,P1_madde_atifli,ONAY_BEKLIYOR
25,TBDY,7.2.1.4,P5_capraz,"TBDY 2018'in 14.13.1.1 numaralı bendine göre kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastisite modülünün kullanılması zorunludur.",YANLIS,"Kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastis",,P5_maddeshift(7.2.1.4→14.13.1.1),ONAY_BEKLIYOR
26,4708,9,P1_dogrudan,"4708 sayılı Kanun'un 9. maddesine göre yapı denetim kuruluşunun izin belgesi alma aşamasında gerçeğe aykırı belge düzenlendiğinin izin belgesi verildikten sonra anlaşılması hâlinde, izin belgesi derhal iptal edilir.",DOGRU,"Yapı denetim kuruluşunun izin belgesi alma aşamasında gerçeğe aykırı belge düzenlendiğinin izin belgesi verildikten sonra anlaşılması hâlinde, izin belgesi derhal iptal edilir.",,P1_madde_atifli,ONAY_BEKLIYOR
27,YDUY,31,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 31. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,(Değişik:RG-23/6/2021-31520) (1) Bakanlıkça belirlenen yapılardan iş bitirme aşamasına gelenler için (Değişik ibare:RG-12/2/2022-31748) yapı müteahhidince Bakanlıktan temin edilen Ek-28’de gösterilen ,değişiklik: 2022,P6_degismedi,ONAY_BEKLIYOR
28,4708,1,P2_sayisal,"4708 sayılı Kanun'a göre birden fazla müstakil yapının bulunduğu parsellerde, bütün yapıların toplam yapı inşaat alanın ın 400 metrekareyi geçmesi hâlinde de bu Kanun uygulanır.",YANLIS,"Birden fazla müstakil yapının bulunduğu parsellerde, bütün yapıların toplam yapı inşaat alanın ın 200 metrekareyi geçmesi hâlinde de bu Kanun uygulanır.",,P2_swap(200→400),ONAY_BEKLIYOR
29,YDUY,14,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre verilen ya da yenilenen denetçi belgeleri beş yıl için geçerlidir.,DOGRU,Verilen ya da yenilenen denetçi belgeleri beş yıl için geçerlidir.,,P1_verbatim,ONAY_BEKLIYOR
30,3194,23,P5_capraz,İSG Risk Değerlendirmesi Yönetmeliği'ne göre ana tesis yapıldığında yapı sahibi veya sahipleri lağım ayaklarını bu tesise bağlamaya mecburdurlar.,YANLIS,Ana tesis yapıldığında yapı sahibi veya sahipleri lağım ayaklarını bu tesise bağlamaya mecburdurlar.,,P5_lawshuffle(3194→ISGRISK),ONAY_BEKLIYOR
31,TBDY,8.3.1.7,P1_dogrudan,TBDY 2018'e göre aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,DOGRU,Aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,,P1_verbatim,ONAY_BEKLIYOR
32,3194,37,P6_guncellik,"3194 sayılı Kanun'un 37. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,İmar planlarının tanziminde planlanan beldenin ve bölgenin şartları ile müstakbel ihtiyaçlar gözönünde tutularak lüzumlu otopark yerleri ayrılır. Otopark ihtiyacı bulunan bina ve tesislere lüzumlu oto,değişiklik: 2019,P6_degismedi,ONAY_BEKLIYOR
33,TBDY,16.4.1,P5_capraz,"TBDY 2018'in 9.2.5.2 numaralı bendine göre sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",YANLIS,"Sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",,P5_maddeshift(16.4.1→9.2.5.2),ONAY_BEKLIYOR
34,3194,8,P2_sayisal,"3194 sayılı Kanun'a göre itirazlar valiliğe yapılır, valilik itirazları ve planları otuz gün içerisinde inceleyerek kesin karara bağlar.",YANLIS,"İtirazlar valiliğe yapılır, valilik itirazları ve planları onbeş gün içerisinde inceleyerek kesin karara bağlar.",,P2_swap(onbeş→otuz),ONAY_BEKLIYOR
35,TBDY,5.7,P5_capraz,TBDY 2018'in 4.5 numaralı bendine göre panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.,YANLIS,Panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.,,P5_maddeshift(5.7→4.5),ONAY_BEKLIYOR
36,6331,0,P4_uydurma,6331 sayılı Kanun'a göre ilgililer 'Yıllık Saha Uygunluk Karnesi' belgesini her ay ilgili idareye ibraz etmek zorundadır.,YANLIS,uydurma belge şablonu,,P4_belge,ONAY_BEKLIYOR
37,TBDY,16.13.2,P5_capraz,"TBDY 2018'in 2.5.1.2 numaralı bendine göre yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkileşimi analizlerinin yapılması gerekir.",YANLIS,"Yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkile",,P5_maddeshift(16.13.2→2.5.1.2),ONAY_BEKLIYOR
38,TBDY,2.1.2,P5_capraz,"TBDY 2018'in 15.1.4 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir",,P5_maddeshift(2.1.2→15.1.4),ONAY_BEKLIYOR
39,YDUY,10,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 10. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Yapı denetim kuruluşuna ortak olabilmek için mimarlık, inşaat mühendisliği, makine mühendisliği veya elektrik mühendisliği diplomasına sahip olmak şartı aranır. (2) (Değişik:RG-22/8/2015-29453) Ya",değişiklik: 2020,P6_degismedi,ONAY_BEKLIYOR
40,TBDY,16.8.5.4,P5_capraz,"TBDY 2018'in 14.14.2.3 numaralı bendine göre çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",YANLIS,"Çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",,P5_maddeshift(16.8.5.4→14.14.2.3),ONAY_BEKLIYOR
41,3194,40,P1_dogrudan,"3194 sayılı Kanun'a göre esaslı tadilat gerektiren eksiklikler, ilgili idaresinden alınacak ruhsat veya izin ile yapılır.",DOGRU,"Esaslı tadilat gerektiren eksiklikler, ilgili idaresinden alınacak ruhsat veya izin ile yapılır.",,P1_verbatim,ONAY_BEKLIYOR
42,6331,6,P6_guncellik,"6331 sayılı Kanun'un 6. maddesi, ilk yayımlandığı 2012 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Mesleki risklerin önlenmesi ve bu risklerden korunulmasına yönelik çalışmaları da kapsayacak, iş sağlığı ve güvenliği hizmetlerinin sunulması için işveren; a) Çalışanları arasından iş güvenliği uz",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR
43,TBDY,7.3.3.2,P1_dogrudan,"TBDY 2018'e göre karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",DOGRU,"Karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",,P1_verbatim,ONAY_BEKLIYOR
44,TBDY,15.2.7.3,P1_dogrudan,"TBDY 2018'e göre malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir.",DOGRU,"Malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir.",,P1_verbatim,ONAY_BEKLIYOR
45,TBDY,11.2.2,P5_capraz,"TBDY 2018'in 7.3.7.1 numaralı bendine göre donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır.",YANLIS,"Donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır.",,P5_maddeshift(11.2.2→7.3.7.1),ONAY_BEKLIYOR
46,3194,32,P5_capraz,6331 sayılı Kanun'a göre idare tarafından ruhsata bağlanamayacağı veya aykırılıkların giderilemeyeceği tespit edilen yapıların ruhsatı üçüncü fıkrada düzenlenen bir aylık süre beklenmeden iptal edilir ve mevzuata aykırı imalatlar hakkında beşinci fıkra hükümleri uygulanır.,YANLIS,İdare tarafından ruhsata bağlanamayacağı veya aykırılıkların giderilemeyeceği tespit edilen yapıların ruhsatı üçüncü fıkrada düzenlenen bir aylık süre beklenmeden iptal edilir ve mevzuata aykırı imalatlar hakkında beşinc,,P5_lawshuffle(3194→6331),ONAY_BEKLIYOR
47,TBDY,11.2.5,P1_dogrudan,TBDY 2018'e göre duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,DOGRU,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,,P1_verbatim,ONAY_BEKLIYOR
48,6331,4,P1_dogrudan,"6331 sayılı Kanun'un 4. maddesine göre çalışanların iş sağlığı ve güvenliği alanındaki yükümlülükleri, işverenin sorumluluklarını etkilemez.",DOGRU,"Çalışanların iş sağlığı ve güvenliği alanındaki yükümlülükleri, işverenin sorumluluklarını etkilemez.",,P1_madde_atifli,ONAY_BEKLIYOR
49,YDUY,28,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 28. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-5/2/2013-28550) Yapı denetim kuruluşu, 27 nci maddede belirtilen oranlara göre her yapı bölümü veya kısmi yapı bölümü için, bu bölümlerin tamamlanmasını müteakiben, ek-24’de gösterilen",değişiklik: 2022,P6_yil,ONAY_BEKLIYOR
50,TBDY,17.9.3,P5_capraz,"TBDY 2018'in 9.3.4.3 numaralı bendine göre perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",YANLIS,"Perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",,P5_maddeshift(17.9.3→9.3.4.3),ONAY_BEKLIYOR
51,TBDY,4.3.2.2,P5_capraz,"TBDY 2018'in 16.5.2.5 numaralı bendine göre kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",YANLIS,"Kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",,P5_maddeshift(4.3.2.2→16.5.2.5),ONAY_BEKLIYOR
52,TBDY,17.5.2.4,P1_dogrudan,"TBDY 2018'in 17.5.2.4 numaralı bendine göre kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan paylarının toplamı kullanılarak hesap lanabilir.",DOGRU,"Kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan p",,P1_madde_atifli,ONAY_BEKLIYOR
53,YDUY,19,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'nin 26. maddesine göre kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasının uygulanmasının gerektiğine karar verilmesi halinde Bakanlığa teklifte bulunulur.,YANLIS,Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasının uygulanmasının gerektiğine karar verilmesi halinde Bakanlığa teklifte bulunulur.,,P5_maddeshift(19→26),ONAY_BEKLIYOR
54,3194,32,P1_dogrudan,3194 sayılı Kanun'a göre idare tarafından ruhsata bağlanamayacağı veya aykırılıkların giderilemeyeceği tespit edilen yapıların ruhsatı üçüncü fıkrada düzenlenen bir aylık süre beklenmeden iptal edilir ve mevzuata aykırı imalatlar hakkında beşinci fıkra hükümleri uygulanır.,DOGRU,İdare tarafından ruhsata bağlanamayacağı veya aykırılıkların giderilemeyeceği tespit edilen yapıların ruhsatı üçüncü fıkrada düzenlenen bir aylık süre beklenmeden iptal edilir ve mevzuata aykırı imalatlar hakkında beşinc,,P1_verbatim,ONAY_BEKLIYOR
55,3194,28,P5_capraz,"3194 sayılı Kanun'un 20. maddesine göre ileri tasarım yöntemleri ve teknolojileri gerektiren özellik arz eden binaların projeleri, bu alanda Bakanlık tarafından çıkarılan yönetmelik çerçevesinde yeterli uzmanlığı haiz mühendislerin gözetiminde yapılır.",YANLIS,"İleri tasarım yöntemleri ve teknolojileri gerektiren özellik arz eden binaların projeleri, bu alanda Bakanlık tarafından çıkarılan yönetmelik çerçevesinde yeterli uzmanlığı haiz mühendislerin gözetiminde yapılır.",,P5_maddeshift(28→20),ONAY_BEKLIYOR
56,TBDY,16.4.3,P5_capraz,"TBDY 2018'in 16.13.1 numaralı bendine göre yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",YANLIS,"Yüzeysel temellerde, temel taban kotu ile kaya üst kotu arasında kalınlığı 3 m’den fazla zemin bulunması durumunda ZA ve ZB sınıfı tanımlaması yapılmayacaktır.",,P5_maddeshift(16.4.3→16.13.1),ONAY_BEKLIYOR
57,YDUY,29,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 29. maddesine göre kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı denetim hizmet bedeli ödenmez.",DOGRU,"Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı de",,P1_madde_atifli,ONAY_BEKLIYOR
58,TBDY,6.2.3,P5_capraz,"TBDY 2018'in 15.5.2.5 numaralı bendine göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",YANLIS,"Mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",,P5_maddeshift(6.2.3→15.5.2.5),ONAY_BEKLIYOR
59,YDUY,32,P5_capraz,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat farkı bu maddede belirlenen esaslar dâhilinde alınır.",YANLIS,"Yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat fa",,P5_lawshuffle(YDUY→ISGRISK),ONAY_BEKLIYOR
60,TBDY,2.1.2,P5_capraz,"TBDY 2018'in 5.6.5.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",,P5_maddeshift(2.1.2→5.6.5.2),ONAY_BEKLIYOR
