oncelik,id,kanun,madde,probe,gold,agirlikli_karsi_pay,oy_sayisi,karsi_modeller,iddia,kaynak_alinti
19,118,3194,39,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","3194 sayılı Kanun'un 29. maddesine göre tebligatı veya ilanı müteakip 30 günü geçmemek üzere ilgili idarece belirlenen süre içinde yapı sahibi tarafından tehlikeli durumun ortadan kaldırılmaması hâlinde, tehlikenin giderilmesi veya yıkım işleri belediye veya valilikçe yapılır ve masrafı % 20 fazlası ile yapı sahibinden tahsil edilir.","Tebligatı veya ilanı müteakip 30 günü geçmemek üzere ilgili idarece belirlenen süre içinde yapı sahibi tarafından tehlikeli durumun ortadan kaldırılmaması hâlinde, tehlikenin giderilmesi veya yıkım işleri belediye veya v"
20,138,6331,8,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'un 6. maddesine göre bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi üç ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alınır.","Bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi üç ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alı"
21,174,YDUY,0,P3_anakronizm,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",Yapı Denetimi Uygulama Yönetmeliği 2003 yılında Resmî Gazete'de yayımlanmıştır.,yıl: 2008
22,178,YDUY,12,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesine göre izin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında haklarında Bakanlıkça gerekli işlemler yürütülür.","İzin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında h"
23,180,4708,5,P6_guncellik,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",4708 sayılı Kanun'un 5. maddesinde 2024 yılında değişiklik yapılmıştır.,"(Değişik birinci fıkra :5/12/2024-7534/12 md.) Yapı denetim hizmet sözleşmesi bedeline esas inşaat alanı 500 metrekareye kadar olan yapılarda yapı sahibince belirlenen yapı denetim kuruluşuyla, diğer "
24,182,TBDY,7.2.5.3,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 4.8.5.2 numaralı bendine göre özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,Özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.
25,197,3194,28,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","3194 sayılı Kanun'un 36. maddesine göre fenni mesuller, Bakanlık tarafından çıkarılan yönetmelikte belirlenen sınıf, özellik ve büyüklüğe sahip bulunan yapıların denetimi faaliyetine yardımcı olmak üzere, 38 inci maddeye göre uygun nitelikte ve sayıda fen adamı istihdam etmek mecburiyetindedir.","Fenni mesuller, Bakanlık tarafından çıkarılan yönetmelikte belirlenen sınıf, özellik ve büyüklüğe sahip bulunan yapıların denetimi faaliyetine yardımcı olmak üzere, 38 inci maddeye göre uygun nitelikte ve sayıda fen adam"
26,198,4708,12,P6_guncellik,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",4708 sayılı Kanun'un 12. maddesinde 2024 yılında değişiklik yapılmıştır.,Bu Kanunda hüküm bulunmayan hallerde 3194 sayılı İmar Kanunu ve ilgili mevzuat hükümleri uygulanır. (Değişik ikinci fıkra:14/2/2020 -7221/28 md.) İlgili idarelerin bu Kanunda belirtilen hususlara iliş
27,207,ISGRISK,10,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'a göre risk kontrol adımları uygulanırken toplu korunma önlemlerine, kişisel korunma önlemlerine göre öncelik verilmesi ve uygulanacak önlemlerin yeni risklere neden olmaması sağlanır.","Risk kontrol adımları uygulanırken toplu korunma önlemlerine, kişisel korunma önlemlerine göre öncelik verilmesi ve uygulanacak önlemlerin yeni risklere neden olmaması sağlanır."
28,211,TBDY,7.2.1.4,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 996- 1’de verilen şekilde kullanılacaktır.,C50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şe
29,213,TBDY,16.12.2.8,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 16.12.2.8 numaralı bendine göre topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir.","Topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir."
30,219,YDUY,0,P3_anakronizm,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",Yapı Denetimi Uygulama Yönetmeliği 2017 yılında Resmî Gazete'de yayımlanmıştır.,yıl: 2008
31,226,YDUY,4,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'ne göre inşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on üç iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı olarak bildirilir.","İnşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on beş iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı ola"
32,237,6331,14,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'a göre sağlık hizmeti sunucuları kendilerine intikal eden iş kazalarını, yetkilendirilen sağlık hizmeti sunucuları ise meslek hastalığı tanısı koydukları vakaları en geç yirmi gün içinde Sosyal Güvenlik Kurumuna bildirir.","Sağlık hizmeti sunucuları kendilerine intikal eden iş kazalarını, yetkilendirilen sağlık hizmeti sunucuları ise meslek hastalığı tanısı koydukları vakaları en geç on gün içinde Sosyal Güvenlik Kurumuna bildirir."
33,240,6331,25,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'un 6. maddesine göre işveren, işin durdurulması sebebiyle işsiz kalan çalışanlara ücretlerini ödemekle veya ücretlerinde bir düşüklük olmamak üzere meslek veya durumlarına göre başka bir iş vermekle yükümlüdür.","İşveren, işin durdurulması sebebiyle işsiz kalan çalışanlara ücretlerini ödemekle veya ücretlerinde bir düşüklük olmamak üzere meslek veya durumlarına göre başka bir iş vermekle yükümlüdür."
34,252,3194,7,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",3194 sayılı Kanun'un 31. maddesine göre halihazır haritası bulunmayan yerleşim yerlerinin halihazır haritaları belediyeler veya valiliklerce yapılır veya yaptırılır.,Halihazır haritası bulunmayan yerleşim yerlerinin halihazır haritaları belediyeler veya valiliklerce yapılır veya yaptırılır.
35,254,YDUY,6,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'ne göre maddede sayılan işlemler, ihtisas konusuna göre ilgili   (8) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.","Maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür."
36,255,YDUY,6,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 35. maddesine göre maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.","Maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür."
37,272,YDUY,6,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",Yapı Denetimi Uygulama Yönetmeliği'ne göre uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.,Uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.
38,273,TBDY,7.6.1.2,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 7.6.1.2 numaralı bendine göre perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır.","Perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır."
39,283,TBDY,12.4.2.9,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 9.8.5.1 numaralı bendine göre oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.,Oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.
40,285,3194,30,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'a göre mal sahibinin müracaatı üzerine, yapının ruhsat ve eklerine uygun olduğu ve kullanılmasında fen bakımından mahzur görülmediğinin tespiti gerekir.","Mal sahibinin müracaatı üzerine, yapının ruhsat ve eklerine uygun olduğu ve kullanılmasında fen bakımından mahzur görülmediğinin tespiti gerekir."
41,299,TBDY,11.2.12,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 1.1.3 numaralı bendine göre donatısız yığma bina, donatılı yığma bina, kuşatılmış yığma bina ve donatılı panel sistemli binaların betonarme bileşenlerinde beton sınıfı en az C25 olacaktır.","Donatısız yığma bina, donatılı yığma bina, kuşatılmış yığma bina ve donatılı panel sistemli binaların betonarme bileşenlerinde beton sınıfı en az C25 olacaktır."
42,307,6331,28,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'un 24. maddesine göre işyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır.","İşyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır."
43,310,TBDY,2.1.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 14.5.1 numaralı bendine göre deprem Yer Hareketi Düzeyi-1 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemektedir.","Deprem Yer Hareketi Düzeyi-1 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemek"
44,312,TBDY,16.5.1.1,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 17.4.1.1 numaralı bendine göre sahaya özel zemin davranış analizleri , taban kayasında tanımlanan deprem yer hareketinin zemin tabakaları boyunca değişimini ve zemin yüzeyindeki deprem yer hareketini belirlemek üzere yapılır.","Sahaya özel zemin davranış analizleri , taban kayasında tanımlanan deprem yer hareketinin zemin tabakaları boyunca değişimini ve zemin yüzeyindeki deprem yer hareketini belirlemek üzere yapılır."
45,314,YDUY,9,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 30. maddesine göre şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir.","Şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir."
46,317,TBDY,11.2.5,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre duvar ve döşeme panellerinde Gazbeton 10 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.
47,320,6331,9,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","4708 sayılı Kanun'a göre işyeri tehlike sınıflarının tespitinde, o işyerinde yapılan asıl iş dikkate alınır.","İşyeri tehlike sınıflarının tespitinde, o işyerinde yapılan asıl iş dikkate alınır."
48,342,TBDY,9.12.6,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre ankraj çubukları malzeme sinin kopma uzaması oranı %28 değerinden az olmayacaktır.,Ankraj çubukları malzeme sinin kopma uzaması oranı %14 değerinden az olmayacaktır.
49,345,YDUY,19,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 2. maddesine göre merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz.","Merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz."
50,347,YDUY,31,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'a göre bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 1 Mart tarihinden itibaren geçerli olmak üzere ilan edilir.","Bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 1 Mart tarihinden itibaren geçerli olmak üzere ilan edilir."
51,350,TBDY,7.2.5.3,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 2.3.3.2 numaralı bendine göre deprem etkisini karşılayacak betonarme elemanlarda; (a) TS EN 206’da verilen betonlardan C25 ila C80 beton sınıfları kullanılacaktır.,Deprem etkisini karşılayacak betonarme elemanlarda; (a) TS EN 206’da verilen betonlardan C25 ila C80 beton sınıfları kullanılacaktır.
52,353,TBDY,7.1.3,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre beton sınıfı C80’den daha yüksek olan betonarme binalar bu yönetmeliğin kapsamı dışındadır.,Beton sınıfı C80’den daha yüksek olan betonarme binalar bu yönetmeliğin kapsamı dışındadır.
53,354,TBDY,17.5.2.4,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 17.1.1 numaralı bendine göre kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan paylarının toplamı kullanılarak hesap lanabilir.","Kolon veya perdelerde düşey yüklerden dolayı oluşan eksenel kuvvetler, katlara etki eden sabit ve hareketli yayılı yük ( g + q) değerleri ve göz önüne alınan kolon veya perdenin taşıdığı tüm katlar boyunca biriken alan p"
54,359,TBDY,15.2.7.3,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 9.4.1.5 numaralı bendine göre malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir.","Malzeme Özellikleri: Projede belirtilen çelik sınıfı, en az bir çelik elemandan örnek kesilerek ve deney yapılarak kontrol edilecektir."
