kod,tabaka,N_tabaka,n_tabaka,agirlik,probe,kanun,madde,gold,kontrol,gecis1_kalite
322,T,105,25,4.2000,P4_uydurma,TBDY,0,YANLIS,0,TEMIZ/TEMIZ
90,T,105,25,4.2000,P2_sayisal,TBDY,7.6.3.3,YANLIS,0,TEMIZ/TEMIZ
284,T,105,25,4.2000,P4_uydurma,6331,0,YANLIS,0,TEMIZ/TEMIZ
210,T,105,25,4.2000,P3_anakronizm,ISGRISK,0,YANLIS,0,TEMIZ/TEMIZ
353,T,105,25,4.2000,P1_dogrudan,TBDY,7.1.3,DOGRU,0,TEMIZ/TEMIZ
213,T,105,25,4.2000,P1_dogrudan,TBDY,16.12.2.8,DOGRU,0,TEMIZ/TEMIZ
226,T,105,25,4.2000,P2_sayisal,YDUY,4,YANLIS,0,TEMIZ/TEMIZ
138,T,105,25,4.2000,P5_capraz,6331,8,YANLIS,0,TEMIZ/TEMIZ
453,T,105,25,4.2000,P4_uydurma,TBDY,0,YANLIS,0,TEMIZ/TEMIZ
29,T,105,25,4.2000,P1_dogrudan,YDUY,14,DOGRU,0,TEMIZ/TEMIZ
77,T,105,25,4.2000,P4_uydurma,6331,0,YANLIS,0,TEMIZ/TEMIZ
259,T,105,25,4.2000,P3_anakronizm,4708,0,YANLIS,0,TEMIZ/TEMIZ
386,T,105,25,4.2000,P1_dogrudan,3194,8,DOGRU,0,TEMIZ/TEMIZ
K291,K,2,2,1.0000,P1_dogrudan,3194,45,DOGRU,1,-
K378,K,2,2,1.0000,P2_sayisal,3194,45,YANLIS,1,-
